edge_id,source_node,target_node,edge_type,weight,distance_pixels,phase_difference_rad,time_difference_sec
G00173,N0068,N0062,SPATIAL,0.219233572483063,2.82842712474619,0.0125663289800286,1.51708428246014
G00174,N0069,N0054,SPATIAL,0.0216460376977921,28.4429253066558,0.175929069519043,3.77524677296887
G00175,N0069,N0270,SPATIAL,0.925741265924383,35.3553390593274,NaN,NaN
G00176,N0069,N0063,SPATIAL,0.205084472894669,36.0555127546399,0.226194366812706,1.49126803340926
G00177,N0069,N0073,SPATIAL,0.412505596876144,37.0135110466435,0.23247766494751,0.787395596051631
G00178,N0070,N0074,SPATIAL,0.468541353940964,2.23606797749979,0.0125665673986077,0.757782839787396
G00179,N0070,N0086,SPATIAL,0.0478349663317204,4.47213595499958,0.0125660905614495,3.03872437357631
G00180,N0070,N0066,SPATIAL,0.468810617923737,7.07106781186548,0.0439820252358913,0.753986332574033
G00181,N0070,N0090,SPATIAL,0.0222895592451096,7.07106781186548,0.031415943056345,3.80030372057707
G00182,N0071,N0079,SPATIAL,0.219114229083061,2.23606797749979,0.00628316355869174,1.51784358390281
G00183,N0071,N0099,SPATIAL,0.00490188831463456,7,0,5.31511009870919
G00184,N0071,N0107,SPATIAL,0.0010705916211009,9.05538513813742,0.00628316355869174,6.83447228549734
G00185,N0072,N0076,SPATIAL,0.467575669288635,1.4142135623731,0.00628328276798129,0.760060744115414
G00186,N0072,N0080,SPATIAL,0.218781724572182,2.23606797749979,0.00628328276798129,1.51936218678816
G00187,N0072,N0068,SPATIAL,0.46872940659523,3.16227766016838,0.0188496112823486,0.757023538344722
G00188,N0072,N0084,SPATIAL,0.102257117629051,3.60555127546399,0.0125665673986077,2.27942293090357
G00189,N0073,N0081,SPATIAL,0.218781724572182,2.23606797749979,0.00628328276798129,1.51936218678815
G00190,N0073,N0077,SPATIAL,0.466598838567734,3.16227766016838,0.0188493728637695,0.761579347000758
G00191,N0073,N0085,SPATIAL,0.102356769144535,3.16227766016838,0.00628328276798129,2.2786636294609
G00192,N0074,N0086,SPATIAL,0.102014258503914,5,0.0251326560974121,2.28094153378891
G00193,N0074,N0094,SPATIAL,0.022442065179348,5.3851648071345,0.0125660905614495,3.79498861047836
G00194,N0074,N0098,SPATIAL,0.0104898912832141,6.08276253029822,0.00628280593082309,4.55504935459377
G00195,N0075,N0083,SPATIAL,0.218781724572182,2.23606797749979,0.00628316355869174,1.51936218678816
G00196,N0075,N0087,SPATIAL,0.102257117629051,3.60555127546399,0.0125664481893182,2.27942293090357
G00197,N0075,N0091,SPATIAL,0.0477815493941307,5,0.0188496112823486,3.03948367501899
G00198,N0075,N0095,SPATIAL,0.0223490223288536,5.8309518948453,0.0188496112823486,3.79878511769173
G00199,N0076,N0080,SPATIAL,0.467964321374893,1,0,0.759301442672744
G00200,N0076,N0084,SPATIAL,0.218781724572182,2.23606797749979,0.00628328276798129,1.51936218678816
G00201,N0076,N0068,SPATIAL,0.219233572483063,2.82842712474619,0.0125663289800286,1.51708428246014
G00202,N0077,N0081,SPATIAL,0.468541353940964,2.23606797749979,0.0125660905614495,0.757782839787396
G00203,N0077,N0085,SPATIAL,0.219233572483063,2.82842712474619,0.0125660905614495,1.51708428246014
G00204,N0077,N0093,SPATIAL,0.0479543507099152,4.12310562561766,0.00628280593082309,3.03644646924829
G00205,N0078,N0082,SPATIAL,0.467964321374893,1,0,0.75930144267274
G00206,N0078,N0066,SPATIAL,0.102014251053333,5,0.0251329597085714,2.28094153378892
G00207,N0078,N0061,SPATIAL,0.0223958101123571,5.09901951359278,0.00628310814499855,3.79726651480638
G00208,N0079,N0099,SPATIAL,0.0223958101123571,5.09901951359278,0.00628316355869174,3.79726651480638
G00209,N0079,N0107,SPATIAL,0.00489304820075631,7.28010988928052,0.0125663289800286,5.31662870159453
G00210,N0080,N0084,SPATIAL,0.467575669288635,1.4142135623731,0.00628328276798129,0.760060744115414
G00211,N0080,N0088,SPATIAL,0.218963593244553,2,0,1.51860288534548
G00212,N0081,N0085,SPATIAL,0.467964321374893,1,0,0.759301442672744
G00213,N0082,N0064,SPATIAL,0.0224144272506237,5,0,3.79650721336371
G00214,N0082,N0102,SPATIAL,0.022429846227169,5.09901951359278,0.00628310814499855,3.79574791192103
