event_id,peak_order,source_sample,target_time_sec,phase_rad,cycle_id,salience,next_interval_samples,next_interval_sec,row,column
E048,48,538771,14.2558845861807,4.84433587183546,18,0.587617,228,0.173120728929385,771,539
E049,49,538999,14.4290053151101,6.27690212187241,18,0.7022783,526,0.399392558845862,999,539
E050,50,539525,14.828397873956,3.29867228626928,19,1,243,0.184510250569476,525,540
E051,51,539768,15.0129081245254,4.82548631591392,19,0.5909997,232,0.176157934700076,768,540
E052,52,540000,15.1890660592255,0,20,0.708127,524,0.397873955960516,1000,540
E053,53,540524,15.586940015186,3.2923891009621,20,1,472,0.358390280941534,524,541
E054,54,540996,15.9453302961276,6.25805256595087,20,0.6699457,263,0.199696279422931,996,541
E055,55,541259,16.1450265755505,1.62734499455951,21,0.6146235,264,0.200455580865604,259,542
E056,56,541523,16.3454821564161,3.28610591565492,21,1,209,0.158694001518603,523,542
E057,57,541732,16.5041761579347,4.59929164485546,21,0.6269234,257,0.195140470766894,732,542
E058,58,541989,16.6993166287016,6.21407026880061,21,0.6770682,270,0.20501138952164,989,542
E059,59,542259,16.9043280182232,1.62734499455951,22,0.6344724,261,0.198177676537585,259,543
E060,60,542520,17.1025056947608,3.26725635973338,22,1,249,0.189066059225513,520,543
E061,61,542769,17.2915717539863,4.8317695012211,22,0.6982583,218,0.165527714502658,769,543
E062,62,542987,17.457099468489,6.20150389818625,22,0.5927848,283,0.214882308276386,987,543
E063,63,543270,17.6719817767654,1.69646003293849,23,0.7812371,251,0.190584662110858,270,544
E064,64,543521,17.8625664388762,3.27353954504056,23,1,251,0.190584662110858,521,544
E065,65,543772,18.0531511009871,4.85061905714264,23,0.6596904,228,0.173120728929385,772,544
E066,66,544000,18.2262718299165,0,24,0.7045311,258,0.195899772209567,1000,544
E067,67,544258,18.422171602126,1.62106180925233,24,0.7400931,263,0.199696279422931,258,545
E068,68,544521,18.621867881549,3.27353954504056,24,0.9899261,249,0.189066059225513,521,545
E069,69,544770,18.8109339407745,4.83805268652828,24,0.7091879,230,0.17463933181473,770,545
E070,70,545000,18.9855732725892,0,25,0.80362,271,0.205770690964313,1000,545
E071,71,545271,19.1913439635535,1.70274321824567,25,0.7999251,251,0.190584662110858,271,546
E072,72,545522,19.3819286256644,3.27982273034774,25,0.9649388,248,0.18830675778284,522,546
E073,73,545770,19.5702353834472,4.83805268652828,25,0.6521248,221,0.167805618830676,770,546
E074,74,545991,19.7380410022779,6.22663663941497,25,0.6883795,281,0.21336370539104,991,546
E075,75,546272,19.9514047076689,1.70902640355285,26,0.7466537,249,0.189066059225513,272,547
E076,76,546521,20.1404707668945,3.27353954504056,26,0.8978661,262,0.198936977980258,521,547
E077,77,546783,20.3394077448747,4.91973409552162,26,0.6264622,211,0.160212604403948,783,547
E078,78,546994,20.4996203492787,6.24548619533651,26,0.6577913,279,0.211845102505695,994,547
E079,79,547273,20.7114654517844,1.71530958886003,27,0.7647085,248,0.18830675778284,273,548
E080,80,547521,20.8997722095672,3.27353954504056,27,0.8560146,250,0.189825360668185,521,548
E081,81,547771,21.0895975702354,4.84433587183546,27,0.6548878,214,0.162490508731967,771,548
E082,82,547985,21.2520880789674,6.18893752757189,27,0.6895035,288,0.218678815489749,985,548
E083,83,548273,21.4707668944571,1.71530958886003,28,0.6629822,246,0.186788154897494,273,549
E084,84,548519,21.6575550493546,3.26097317442621,28,0.8212305,253,0.192103264996204,519,549
E085,85,548772,21.8496583143508,4.85061905714264,28,0.6776029,214,0.162490508731967,772,549
E086,86,548986,22.0121488230828,6.19522071287907,28,0.691354,273,0.207289293849658,986,549
E087,87,549259,22.2194381169324,1.62734499455951,29,0.7058543,260,0.197418375094913,259,550
E088,88,549519,22.4168564920273,3.26097317442621,29,0.7712858,262,0.198936977980258,519,550
E089,89,549781,22.6157934700076,4.90716772490726,29,0.6957823,218,0.165527714502658,781,550
E090,90,549999,22.7813211845103,6.27690212187241,29,0.6381788,265,0.201214882308276,999,550
E091,91,550264,22.9825360668185,1.65876092109541,30,0.7162018,299,0.22703113135915,264,551
