lag_samples,acf_score,phase_score,combined_score
3068,0.316497508804559,0.999999999999934,0.562558405634894
1070,0.314851059695915,0.999999999999999,0.561504678205385
2934,0.314625577685903,1,0.561360369718979
1932,0.31384675421461,0.999999999999933,0.560861922697326
930,0.310028890172249,1.00000000000003,0.558418489710251
2070,0.308052098330288,0.999999999999934,0.55715334293136
3070,0.302964383179559,0.999999999999939,0.553897205234895
2932,0.302609240736183,1.00000000000008,0.553669914071186
1072,0.300455705433216,0.999999999999984,0.552291651477252
1930,0.29897881482285,0.999999999999939,0.551346441486602
2072,0.295279618551984,0.999999999999986,0.548978955873265
928,0.295061453946409,0.999999999999918,0.548839330525672
3072,0.290391062621553,1.0000000000001,0.545850280077828
2930,0.288143791698858,0.999999999999934,0.544412026687245
1074,0.28797337232947,1,0.544302958290862
1928,0.285356224823245,1.0000000000001,0.542627983886912
2074,0.283672725146436,0.999999999999987,0.541550544093714
926,0.281151001891731,1.00000000000003,0.539936641210718
3074,0.278017000615126,0.999999999999957,0.537930880393665
1076,0.275007097220095,0.999999999999933,0.536004542220837
2928,0.274679337100108,0.999999999999986,0.535794775744064
1926,0.271135577730271,0.999999999999956,0.533526769747358
2076,0.269756942312961,1.00000000000001,0.532644443080297
924,0.267861006134501,1.00000000000007,0.531431043926107
3076,0.265413980003818,1.00000000000003,0.529864947202455
1078,0.261269200157367,0.999999999999937,0.527212288100692
2926,0.259317390132815,0.999999999999987,0.525963129684997
1924,0.258217710065629,1.00000000000003,0.525259334442014
2078,0.256575482536468,1.00000000000005,0.524208308823358
922,0.254839949823134,0.999999999999932,0.523097567886781
3078,0.250704920997527,0.999999999999984,0.520451149438412
2924,0.246281798343856,1.00000000000001,0.51762035094007
1080,0.24435247029945,0.99999999999994,0.516385580991626
1922,0.24317332520671,0.999999999999984,0.515630928132289
2080,0.24031778262382,1.00000000000008,0.513803380879275
920,0.238830975440473,0.999999999999984,0.512851824281897
3080,0.236088521522076,0.999999999999985,0.511096653774123
2922,0.233858501132012,1.00000000000005,0.509669440724506
1920,0.228413110590218,0.999999999999985,0.506184390777734
1082,0.228384006524608,0.999999999999974,0.50616576417574
2082,0.224640011845586,1.00000000000006,0.503769607581197
918,0.224031508412399,0.999999999999948,0.503380165383917
3082,0.22184613743357,0.999999999999889,0.501981527957445
2920,0.218484799963022,1.00000000000008,0.499830271976365
1084,0.214381292264219,0.999999999999928,0.497204027049074
1918,0.213214398029585,0.999999999999889,0.496457214738895
2084,0.210344419300386,0.999999999999916,0.494620428352217
916,0.208470667108227,0.999999999999954,0.493421226949249
3084,0.205954671957448,1.00000000000004,0.491810990052782
2918,0.20381366895122,1.00000000000006,0.490440748128803
1086,0.199667332914685,1.00000000000007,0.487787093065425
1916,0.197385825810148,1.00000000000004,0.48632692851851
2086,0.195829453619013,1.00000000000001,0.485330850316171
3086,0.192576801126125,1.00000000000003,0.483249152720732
914,0.192419261712963,0.99999999999996,0.483148327496282
2916,0.188562989574917,0.999999999999916,0.480680313327917
1088,0.184116358517853,0.999999999999907,0.477834469451392
1914,0.183150825346933,1.00000000000003,0.477216528222049
2088,0.180494706867758,0.999999999999952,0.475516612395348
912,0.177541935515059,1.00000000000009,0.47362683872967
3088,0.175862922301151,1.00000000000008,0.472552270272766
2914,0.172697399897742,1.00000000000001,0.470526335934558
1090,0.169615613765011,0.999999999999968,0.468553992809596
1912,0.168360033250816,1.00000000000008,0.467750421280551
2090,0.165444097248504,1.00000000000002,0.465884222239049
910,0.16349871064685,1.00000000000002,0.464639174813992
3090,0.162948580897018,0.999999999999905,0.464287091774058
2912,0.159575240896569,0.999999999999952,0.462128154173787
1092,0.156312887048479,1.00000000000002,0.460040247711032
1910,0.155436967249086,0.999999999999905,0.459479659039381
2092,0.153182958354433,1.00000000000001,0.458037093346841
908,0.150777022264047,0.999999999999932,0.456497294248966
3092,0.150717936706504,0.99999999999999,0.456459479492159
