branch_id,euclidean_length,metric_length,curvature_energy,phase_coherence,intrinsic_geodesic_compatibility
B0039,28.3847763108502,854.523792199898,0.392541084134236,0.999434770174556,0.600726735604627
B0040,9.82842712474619,274.022254214175,0.308425137534043,0.993982208401534,0.471684501274464
B0041,57.1969583122911,1643.30286464404,0.660470079560645,0.996638224436189,0.442531331354031
B0042,53.760257406615,1592.23223959904,0.550319728401518,0.956198140680069,0.422595918190043
B0043,36.7858444539843,808.714728863395,0.913074541751289,0.982894893813162,0.333912954552313
B0044,22.8994949366117,715.127764867674,0.422055451362375,0.992168622821063,0.569995005432358
B0045,16.6568542494924,402.893125508158,1.43470695641366,0.969172408578311,0.21993555084773
B0046,15.6568542494924,376.570920578988,0.332150148113585,0.999146163195309,0.628612218246638
B0047,64.8313252184805,1783.67628817661,0.734915084126865,0.997660021197947,0.443405404220447
B0048,31.9705627484771,713.332361454195,1.11033049512255,0.964088317749824,0.280842982524317
B0049,14.647559034407,285.349407035186,0.902508555015517,0.971449039491636,0.371626800607496
B0050,74.3553390593274,2107.42042240109,0.342694597260048,0.979768887837055,0.601329968134754
B0051,68.6111718746643,1747.96811446427,1.05827539722263,0.994622085214414,0.319235690239627
B0052,14.8994949366117,391.287639420562,0.392541084134237,0.987724344683163,0.481681948793899
B0053,50.1706207648346,1375.0072800076,0.811505339937267,0.995958997269853,0.412240888898203
B0054,21.3137084989848,505.466835746879,0.39913841327935,0.918921028082767,0.544800150938958
B0055,13.0710678118655,349.593716817653,0.370110165040852,0.976211816928364,0.48896781700056
B0056,12.4852813742386,383.321505935392,0.479772436164067,0.994490091024656,0.42060408375721
B0057,19.3137084989848,452.610345930575,0.370110165040852,0.971822101315061,0.497630246573895
B0058,13.6568542494924,348.931686717394,0.112154595466925,0.992048303435973,0.778856951112611
B0059,24.142135623731,516.461697510983,1.4520641288164,0.983255710663437,0.217890068622133
B0060,32.3847763108502,800.697121258057,0.569400253909002,0.905521103677576,0.448858466053659
B0061,11.0710678118655,252.563666829399,1.23370055013617,0.976502505325555,0.270529351397331
B0062,14.0710678118655,362.196552269766,0.448618381867699,0.995162645720815,0.603724009396929
B0063,15.3137084989848,478.411572620214,0.336463786400774,0.998691467349802,0.615226596817439
B0064,15.2426406871193,390.982508470528,0.237250105795418,0.99917959728982,0.649228819335805
B0065,33.7989898732233,852.500315389741,0.571157662100079,0.878387412404415,0.424637101832288
B0066,79.0832611206853,2457.48664101588,0.279510280890227,0.935258133679211,0.469947253641784
B0067,25.4852813742386,561.85905506141,0.252347839800581,0.970907803698714,0.647185055687896
B0068,10.2426406871193,228.846711074561,0.0771062843835115,0.999257604836345,0.869139883446169
B0069,44.6274169979695,1181.75034107686,0.383447468285567,0.991137730464559,0.591262452086972
B0070,18.4852813742386,481.303594041388,0.699096978410497,0.994562910966206,0.409310496346468
B0071,14.4852813742386,412.48685823208,0.504695679601161,0.990939715141991,0.526868967180636
B0072,15.4852813742386,348.713448930691,0.35982932712305,0.974179772742568,0.618154650252243
B0073,16.6568542494924,429.785070503236,0.176242935733739,0.998731976092565,0.739790162005144
B0074,23.3137084989848,725.897251410654,0.357123843460471,0.9995211361267,0.497896546661031
B0075,16.3137084989848,509.02714939772,0.514041895890071,0.998970769782281,0.369188338040694
B0076,22.142135623731,691.786122400174,0.580564964769963,0.923999464536399,0.451854852504339
